instance,dimension,beta,gamma,runs,mean_gap_percent,std_gap_percent,median_gap_percent,mean_final_effective_count,mean_final_edge_diversity,mean_runtime_seconds
lin318,318,0.0,8.0,10,7.1169906493135695,1.870494383936768,7.236669918389683,15.999999999743997,0.009111635220125786,1.4408714230999977
lin318,318,2.0,0.0,10,7.967831735230436,1.2152591351419182,7.722049061362393,15.38413254151791,0.0034486373165618445,1.5323711193999316
lin318,318,2.0,1.0,10,7.698731828023507,1.9300015594721591,7.129600989792762,14.958356183215319,0.0036923480083857437,1.5422402964999946
lin318,318,2.0,4.0,10,7.950938637607367,1.924548501075183,7.28068714459064,14.595485914341765,0.00530922431865828,1.547813514399968
lin318,318,2.0,8.0,10,7.739655951842775,2.1804667901032424,7.43653191843727,14.990961620844834,0.0042190775681341715,1.4490466655000547
lin318,318,6.0,0.0,10,7.555021532751195,1.5521165096417822,7.379428489852245,10.321628099270985,0.006936582809224318,1.863623748100008
lin318,318,6.0,1.0,10,7.2497561207737515,2.0624586682942083,7.029669989768969,12.08124092706186,0.008849580712788258,1.6679900607000036
lin318,318,6.0,4.0,10,7.076542387399177,1.7769730348082744,6.836945918294511,10.916498071252983,0.00670859538784067,1.4889422133000152
lin318,318,6.0,8.0,10,8.037545504294654,1.9280276029297263,7.87313521616027,12.896247037181942,0.002120020964360587,1.5204240189999383
lin318,318,12.0,0.0,10,7.487449142258916,2.5325987353460997,6.919032096885484,12.594625145261421,0.003388364779874213,1.5678292300999146
lin318,318,12.0,1.0,10,7.318994027933094,2.3511068271689477,6.602583930143473,9.390075491367051,0.008052935010482178,1.5098195669999768
lin318,318,12.0,4.0,10,8.197197173380285,2.3588061243144622,7.971876561421876,11.347058826418408,0.008359538784067085,1.5728711768999801
lin318,318,12.0,8.0,10,7.943800709034238,2.2629030844581624,7.559066358942635,11.634646962109871,0.003459119496855345,1.5240509129999738
