instance,dimension,run,seed,beta,gamma,best_known,best_length,gap_percent,final_effective_count,final_edge_diversity,runtime_seconds
berlin52,52,5,20260809,2.0,4.0,7542,7721,2.373375762397242,13.111577430146907,0.052884615384615405,0.3479605930001526
berlin52,52,5,20260809,2.0,8.0,7542,7542,0.0,15.999999999743997,0.0,0.33589023400008955
berlin52,52,5,20260809,6.0,0.0,7542,7623,1.0739856801909309,15.999999999743997,0.0,0.3247298440001032
berlin52,52,5,20260809,6.0,1.0,7542,7574,0.42429063908777515,15.999999999743997,0.0,0.34725643100000525
berlin52,52,5,20260809,6.0,4.0,7542,7542,0.0,15.999999999743997,0.0,0.323147293999682
berlin52,52,5,20260809,6.0,8.0,7542,7542,0.0,15.999999999743997,0.0,0.3271589060000224
berlin52,52,5,20260809,12.0,0.0,7542,7674,1.7501988862370723,1.0011987331337953,0.007211538461538464,0.3452352429999337
berlin52,52,5,20260809,12.0,1.0,7542,7596,0.7159904534606205,15.999999999743997,0.0,0.32057009799973457
berlin52,52,5,20260809,12.0,4.0,7542,7785,3.2219570405727924,15.999999999743997,0.0,0.32520212200006426
berlin52,52,5,20260809,12.0,8.0,7542,7542,0.0,15.999999999743997,0.0,0.32350355699963984
berlin52,52,6,20260810,0.0,0.0,7542,7619,1.020949350304959,15.999999999743997,0.023076923076923085,0.3109555480000381
berlin52,52,6,20260810,0.0,1.0,7542,7766,2.970034473614426,15.999999999743997,0.0,0.3114973059996373
berlin52,52,6,20260810,0.0,4.0,7542,7765,2.956775391142933,15.999999999743997,0.0,0.3239062150000791
berlin52,52,6,20260810,0.0,8.0,7542,8087,7.22619994696367,15.999999999743997,0.008974358974358968,0.29561251699988134
berlin52,52,6,20260810,2.0,0.0,7542,7972,5.701405462741978,15.404406944189537,0.028685897435897445,0.32301581100000476
berlin52,52,6,20260810,2.0,1.0,7542,7886,4.561124370193583,11.845449806937411,0.04294871794871792,0.3306940460001897
berlin52,52,6,20260810,2.0,4.0,7542,7648,1.405462741978255,15.999999999743997,0.0,0.2847997080002642
berlin52,52,6,20260810,2.0,8.0,7542,7542,0.0,15.999999999743997,0.0,0.30493320999994467
berlin52,52,6,20260810,6.0,0.0,7542,7565,0.30495889684433836,15.999999999743997,0.0,0.32594190800000433
berlin52,52,6,20260810,6.0,1.0,7542,7565,0.30495889684433836,9.18924225834237,0.04326923076923075,0.32157011900017096
berlin52,52,6,20260810,6.0,4.0,7542,7542,0.0,15.999999999743997,0.0,0.32991912699981185
berlin52,52,6,20260810,6.0,8.0,7542,7596,0.7159904534606205,1.2860777578520806,0.0048076923076923045,0.30377924699996584
berlin52,52,6,20260810,12.0,0.0,7542,7542,0.0,7.000718904186338,0.04038461538461536,0.32868639199978134
berlin52,52,6,20260810,12.0,1.0,7542,7542,0.0,7.000718904186338,0.04038461538461536,0.31432511399998475
berlin52,52,6,20260810,12.0,4.0,7542,7542,0.0,7.000718904186338,0.04038461538461536,0.30889827000009973
berlin52,52,6,20260810,12.0,8.0,7542,7542,0.0,7.000718904186338,0.04038461538461536,0.33018014199979007
berlin52,52,7,20260811,0.0,0.0,7542,7680,1.8297533810660302,15.999999999743997,0.0,0.31499449000011737
berlin52,52,7,20260811,0.0,1.0,7542,7542,0.0,15.999999999743997,0.0,0.3105621730001076
berlin52,52,7,20260811,0.0,4.0,7542,7696,2.041898700609918,15.999999999743997,0.0,0.30700008399981016
