instance,dimension,algorithm,run,seed,best_known,best_length,gap_percent,final_mean_length,runtime_seconds,budget_mode
berlin52,52,ABC/BCO,14,20264533,7542,8508,12.80827366746221,9395.8,,standard
berlin52,52,ABC/BCO,15,20264534,7542,8362,10.87244762662424,9294.766666666666,,standard
berlin52,52,ABC/BCO,16,20264535,7542,8105,7.464863431450544,9436.166666666666,,standard
berlin52,52,ABC/BCO,17,20264536,7542,8252,9.41394855476001,9481.033333333333,,standard
berlin52,52,ABC/BCO,18,20264537,7542,8091,7.279236276849642,9302.0,,standard
berlin52,52,ABC/BCO,19,20264538,7542,7542,0.0,9438.166666666666,,standard
berlin52,52,ABC/BCO,20,20264539,7542,7984,5.860514452399894,9327.166666666666,,standard
berlin52,52,ABC/BCO,21,20264540,7542,8394,11.29673826571201,9440.466666666667,,standard
berlin52,52,ABC/BCO,22,20264541,7542,7877,4.441792627950146,9301.5,,standard
berlin52,52,ABC/BCO,23,20264542,7542,8056,6.815168390347388,9501.466666666667,,standard
berlin52,52,ABC/BCO,24,20264543,7542,7984,5.860514452399894,9257.933333333332,,standard
berlin52,52,ABC/BCO,25,20264544,7542,7734,2.545743834526651,9238.233333333334,,standard
berlin52,52,ABC/BCO,26,20264545,7542,8057,6.828427472818881,9143.4,,standard
berlin52,52,ABC/BCO,27,20264546,7542,8095,7.332272606735614,9308.266666666666,,standard
berlin52,52,ABC/BCO,28,20264547,7542,8019,6.324582338902148,9320.866666666669,,standard
berlin52,52,ABC/BCO,29,20264548,7542,8093,7.305754441792628,9378.133333333331,,standard
berlin52,52,ABC/BCO,30,20264549,7542,7895,4.680456112437019,9355.566666666668,,standard
ch150,150,SA,1,20261520,6528,13865,112.3927696078431,13865.0,,standard
ch150,150,SA,2,20261521,6528,13380,104.9632352941176,13380.0,,standard
ch150,150,SA,3,20261522,6528,13481,106.5104166666667,13481.0,,standard
ch150,150,SA,4,20261523,6528,13267,103.2322303921569,13269.0,,standard
ch150,150,SA,5,20261524,6528,12449,90.7015931372549,12449.0,,standard
ch150,150,SA,6,20261525,6528,13304,103.7990196078431,13304.0,,standard
ch150,150,SA,7,20261526,6528,13541,107.4295343137255,13541.0,,standard
ch150,150,SA,8,20261527,6528,14255,118.3670343137255,14255.0,,standard
ch150,150,SA,9,20261528,6528,13332,104.2279411764706,13332.0,,standard
ch150,150,SA,10,20261529,6528,14320,119.3627450980392,14320.0,,standard
ch150,150,SA,11,20261530,6528,13826,111.7953431372549,14052.0,,standard
ch150,150,SA,12,20261531,6528,13446,105.9742647058824,13446.0,,standard
ch150,150,SA,13,20261532,6528,13200,102.2058823529412,13200.0,,standard
ch150,150,SA,14,20261533,6528,13990,114.3075980392157,13990.0,,standard
ch150,150,SA,15,20261534,6528,14073,115.5790441176471,14073.0,,standard
ch150,150,SA,16,20261535,6528,13694,109.7732843137255,13694.0,,standard
ch150,150,SA,17,20261536,6528,13436,105.8210784313726,13436.0,,standard
ch150,150,SA,18,20261537,6528,13417,105.5300245098039,13417.0,,standard
ch150,150,SA,19,20261538,6528,13970,114.0012254901961,13970.0,,standard
ch150,150,SA,20,20261539,6528,13723,110.2175245098039,13723.0,,standard
ch150,150,SA,21,20261540,6528,13568,107.843137254902,13569.0,,standard
ch150,150,SA,22,20261541,6528,13766,110.8762254901961,13766.0,,standard
ch150,150,SA,23,20261542,6528,14556,122.9779411764706,14969.0,,standard
ch150,150,SA,24,20261543,6528,14274,118.6580882352941,14274.0,,standard
ch150,150,SA,25,20261544,6528,13361,104.672181372549,13361.0,,standard
ch150,150,SA,26,20261545,6528,14600,123.6519607843137,14600.0,,standard
ch150,150,SA,27,20261546,6528,13134,101.1948529411765,13136.0,,standard
ch150,150,SA,28,20261547,6528,14638,124.234068627451,14638.0,,standard
ch150,150,SA,29,20261548,6528,13731,110.3400735294118,13731.0,,standard
ch150,150,SA,30,20261549,6528,13645,109.0226715686274,13645.0,,standard
ch150,150,GA,1,20262520,6528,9470,45.06740196078432,9698.5,,standard
ch150,150,GA,2,20262521,6528,10317,58.0422794117647,10641.85,,standard
ch150,150,GA,3,20262522,6528,9354,43.29044117647059,9555.225,,standard
ch150,150,GA,4,20262523,6528,9461,44.92953431372549,9785.45,,standard
ch150,150,GA,5,20262524,6528,9920,51.96078431372549,10325.625,,standard
ch150,150,GA,6,20262525,6528,9087,39.20036764705883,9209.775,,standard
ch150,150,GA,7,20262526,6528,9718,48.86642156862745,9987.425,,standard
ch150,150,GA,8,20262527,6528,9667,48.08517156862745,9962.2,,standard
ch150,150,GA,9,20262528,6528,9404,44.05637254901961,9708.05,,standard
ch150,150,GA,10,20262529,6528,9947,52.37438725490196,10386.8,,standard
