instance,dimension,algorithm,best_known,runs,best,mean,std,median,mean_gap_percent,best_gap_percent,mean_runtime_seconds,budget_mode,rank_within_instance
eil76,76,GA,538,30,565,591.4333333333333,10.991166777300599,591.0,9.93184634448575,5.018587360594796,,standard,5.0
eil76,76,ILS,538,30,545,564.7333333333333,10.818035175459137,562.5,4.96902106567534,1.3011152416356877,0.29168617566667004,standard,3.0
eil76,76,MWI-H,538,30,543,555.3666666666667,6.11094740289258,555.0,3.228004956629492,0.929368029739777,0.4272549574333577,standard,1.0
eil76,76,SA,538,30,979,1051.7666666666667,41.63278162394535,1049.5,95.49566294919455,81.97026022304833,,standard,6.0
kroA100,100,ABC/BCO,21282,30,22213,23059.133333333335,673.8188507886686,22915.5,8.350405663628106,4.374588854430974,,standard,4.0
kroA100,100,ACO,21282,30,21446,22142.3,459.4457793232301,22050.0,4.042383234658397,0.7706042665163049,,standard,2.0
kroA100,100,GA,21282,30,23209,25358.366666666665,1330.4587615149721,25460.5,19.154058202549887,9.054600131566582,,standard,5.0
kroA100,100,ILS,21282,30,21562,22845.3,926.6950973477069,22744.5,7.345644206371582,1.3156658208814962,0.45632501146666676,standard,3.0
kroA100,100,MWI-H,21282,30,21383,21761.433333333334,346.015913858999,21693.0,2.2527644644926856,0.4745794568179682,0.6178203453000303,standard,1.0
kroA100,100,SA,21282,30,27492,30032.7,1602.0080104410345,29780.0,41.11784606709896,29.17958838455032,,standard,6.0
lin318,318,ABC/BCO,42029,30,53678,56737.433333333334,1234.5468436618369,56615.5,34.99591551864982,27.71657664945633,,standard,3.0
lin318,318,ACO,42029,30,45818,47368.13333333333,1077.078671392121,47174.5,12.703450791913522,9.015203787860765,,standard,2.0
lin318,318,GA,42029,30,78027,83847.9,2686.740768137561,83842.5,99.5001070689286,85.65038425848819,,standard,5.0
lin318,318,ILS,42029,30,59257,74716.66666666667,7118.365181035232,74695.5,77.77407662962875,40.990744485950174,0.3546054051000586,standard,4.0
lin318,318,MWI-H,42029,30,43837,45369.333333333336,909.1352592107668,45424.0,7.94768691459072,4.301791620071855,2.5385871201000403,standard,1.0
lin318,318,SA,42029,30,95276,104581.83333333333,5312.122642716784,104400.5,148.83255212670616,126.6910942444503,,standard,6.0
pcb442,442,ABC/BCO,50778,30,74720,76613.03333333334,1141.6599977991316,76508.5,50.87839878162459,47.1503406987278,,standard,3.0
pcb442,442,ACO,50778,30,55231,56104.666666666664,629.9176373821083,56040.0,10.490107264300812,8.76954586632006,,standard,2.0
pcb442,442,GA,50778,30,102542,106703.46666666666,2047.4896780226234,106623.5,110.1371985242953,101.9417858127536,,standard,5.0
pcb442,442,ILS,50778,30,87385,105135.16666666667,7657.765340211667,106964.0,107.04865624220461,72.09224467288983,0.296439661533274,standard,4.0
pcb442,442,MWI-H,50778,30,53068,54346.26666666667,726.4355078920883,54213.5,7.0271902529967045,4.509827090472252,1.9901937371999794,standard,1.0
pcb442,442,SA,50778,30,113185,119729.7,3991.3211204069894,118519.0,135.79049982275788,122.9016503210052,,standard,6.0
pr439,439,ABC/BCO,107217,30,160437,169881.43333333332,6010.371929987496,168959.5,58.446359563626416,49.63765074568399,,standard,3.0
pr439,439,ACO,107217,30,118918,123057.43333333333,3090.98379254035,122795.0,14.77418071139216,10.91338127349208,,standard,2.0
pr439,439,GA,107217,30,216733,237920.36666666667,7933.546341364291,238460.0,121.90545031726933,102.1442495126706,,standard,4.0
pr439,439,ILS,107217,30,189932,238317.9,25918.58057170037,241937.0,122.27622485240214,77.14728074838878,0.3208521035333433,standard,5.0
pr439,439,MWI-H,107217,30,114667,120209.03333333334,2885.973396815438,120528.0,12.117512459156043,6.94852495406512,2.1368536110666354,standard,1.0
pr439,439,SA,107217,30,255243,278024.6,8460.857307992317,277656.0,159.3101840193253,138.0620610537508,,standard,6.0
pr76,76,ABC/BCO,108159,30,109660,115442.3,2740.975765722102,115404.5,6.733882524801449,1.38777170646918,,standard,4.0
pr76,76,ACO,108159,30,109883,113562.93333333333,2528.8090550260226,113224.0,4.99628633154276,1.593949648203108,,standard,3.0
pr76,76,GA,108159,30,110989,117622.0,4068.468957135154,116859.0,8.74915633465546,2.616518274022504,,standard,5.0
pr76,76,ILS,108159,30,109256,113430.16666666667,2797.443846570051,112666.5,4.873534950088912,1.014247542969147,0.31131834033327926,standard,2.0
pr76,76,MWI-H,108159,30,109002,111918.63333333333,2399.7493329344916,111185.0,3.476024494802405,0.779408093639919,0.8722251955332923,standard,1.0
pr76,76,SA,108159,30,111425,120520.0,4290.263443402177,119357.0,11.428545012435396,3.019628509878975,,standard,6.0
rat99,99,ABC/BCO,1211,30,1262,1339.3666666666666,32.668115144991695,1341.0,10.600055050922103,4.211395540875309,,standard,4.0
rat99,99,ACO,1211,30,1226,1268.0333333333333,23.296415786677322,1264.5,4.709606385906964,1.238645747316268,,standard,1.0
rat99,99,GA,1211,30,1375,1434.5333333333333,41.016172868535776,1433.0,18.458574181117534,13.54252683732452,,standard,5.0
rat99,99,ILS,1211,30,1229,1306.6,46.805245800900956,1295.5,7.894302229562345,1.486374896779521,0.3366663390332936,standard,3.0
rat99,99,MWI-H,1211,30,1223,1277.1,18.20259549511064,1281.5,5.458298926507019,0.990916597853014,0.5362877925333275,standard,2.0
rat99,99,SA,1211,30,2107,2417.4666666666667,107.5516662797013,2424.0,99.62565372969996,73.98843930635839,,standard,6.0
tsp225,225,ABC/BCO,3919,30,4376,4573.966666666666,82.51289693690036,4570.0,16.71259675087182,11.66113804541975,,standard,3.0
tsp225,225,ACO,3919,30,4125,4291.333333333333,92.53790773416104,4253.0,9.500722973547674,5.256442970145446,,standard,2.0
tsp225,225,GA,3919,30,5958,6443.0,227.8429586208524,6423.5,64.40418474100537,52.02857871906099,,standard,5.0
tsp225,225,ILS,3919,30,4174,4659.7,382.4253048545603,4491.5,18.900229650421025,6.506761929063536,0.3846844742666841,standard,4.0
tsp225,225,MWI-H,3919,30,3979,4169.2,72.38660573376252,4171.5,6.384281704516458,1.5310028068384791,1.0434550587333282,standard,1.0
tsp225,225,SA,3919,30,8243,9120.966666666667,476.7491557111183,9113.0,132.73709279578122,110.3342689461597,,standard,6.0
