instance,algorithm,run,iteration,entropy_H,N_eff,active_trajectories,mean_length
berlin52,MWI-H,2,5,1.2132994964868307,3.364567737624055,10,24410.3
berlin52,MWI-H,2,6,1.2826094958216434,3.6060373981660363,10,24201.8
berlin52,MWI-H,2,7,1.237285422692612,3.4462456554419876,10,24225.1
berlin52,MWI-H,2,8,1.2415388939726144,3.460935381377707,10,24168.5
berlin52,MWI-H,2,9,1.2488305770717494,3.4862636560591107,10,23959.7
berlin52,MWI-H,2,10,1.255321353707259,3.508965812352132,10,23900.8
berlin52,MWI-H,2,11,1.2336030184011184,3.433578522716765,10,23727.0
berlin52,MWI-H,2,12,1.2232199545187858,3.398111902294749,10,23307.3
berlin52,MWI-H,2,13,1.225357213813202,3.405382315152593,10,22896.9
berlin52,MWI-H,2,14,1.2165906580466037,3.375659315703322,10,22681.0
berlin52,MWI-H,2,15,1.2672075760799175,3.5509230226788064,10,22387.4
berlin52,MWI-H,2,16,1.2522112437816328,3.498069496104252,10,22246.6
berlin52,MWI-H,2,17,1.2429887442457528,3.4659568588012957,10,22061.2
berlin52,MWI-H,2,18,1.2188009973127594,3.383128920176896,10,21898.1
berlin52,MWI-H,2,19,1.178866727515033,3.2506881991675454,10,21905.6
berlin52,MWI-H,2,20,1.1820150605743782,3.2609385756233302,10,21832.3
berlin52,MWI-H,2,21,1.1467671970421112,3.1479995797009606,10,21560.5
berlin52,MWI-H,2,22,1.165048408588384,3.2060780811604856,10,21334.8
berlin52,MWI-H,2,23,1.116562268976218,3.054336148395313,10,21401.3
berlin52,MWI-H,2,24,1.144476204725184,3.1407957919122578,10,21178.9
berlin52,MWI-H,2,25,1.1716843741521055,3.227424252798275,10,21200.6
berlin52,MWI-H,2,26,1.1756081049129579,3.240112673311354,10,21166.1
berlin52,MWI-H,2,27,1.173026152589205,3.2317576476457917,10,21062.3
berlin52,MWI-H,2,28,1.1767030655456734,3.243662412191698,10,20972.4
berlin52,MWI-H,2,29,1.2462510577850323,3.477282360412463,10,20759.8
ch150,MWI-H,1,0,1.2158283566314965,3.373087026384499,10,42327.5
ch150,MWI-H,1,1,1.2150186666035552,3.3703569768519497,10,42270.1
ch150,MWI-H,1,2,1.2172946771245952,3.3780366810194518,10,42128.1
ch150,MWI-H,1,3,1.2115273669927515,3.358610567898483,10,41874.6
ch150,MWI-H,1,4,1.2100720464736616,3.353726267996384,10,41723.9
ch150,MWI-H,1,5,1.2098665975863945,3.353037319440706,10,41452.3
ch150,MWI-H,1,6,1.2129678687634775,3.363452138677153,10,41414.8
ch150,MWI-H,1,7,1.216663555480755,3.375905401575411,10,41201.5
ch150,MWI-H,1,8,1.2192367977521068,3.3846036105586963,10,41055.9
ch150,MWI-H,1,9,1.2248152068444296,3.4035370743183146,10,40704.0
ch150,MWI-H,1,10,1.214513070599477,3.3686533685372058,10,40547.3
ch150,MWI-H,1,11,1.2144915008064145,3.3685807081647843,10,40475.7
ch150,MWI-H,1,12,1.2137232093740518,3.3659936504018915,10,40228.2
ch150,MWI-H,1,13,1.2105417225560346,3.3553018029778743,10,40097.0
ch150,MWI-H,1,14,1.208626937337574,3.348883267701371,10,40003.5
ch150,MWI-H,1,15,1.2074745887693297,3.34502640951192,10,39903.6
ch150,MWI-H,1,16,1.2087539192652903,3.349308542354927,10,39863.4
ch150,MWI-H,1,17,1.2119447569867614,3.360012710943182,10,39673.4
ch150,MWI-H,1,18,1.2100229088875334,3.3535614780317635,10,39714.5
ch150,MWI-H,1,19,1.210104827443209,3.353836208197009,10,39560.3
ch150,MWI-H,1,20,1.209432825359436,3.3515831803809473,10,39392.7
